index,reviewerName,product,reviewText,overall,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
13,Cody,Xoom,"It’s fine for international transfers, though I wish it was more transparent with fees.",5.0,2014-04-07,245,0,0,0,0,0.0,0.0
14,David,PayPal Digital Wallet,"It's fine for sending money quickly, though customer service is hard to reach.",5.0,2013-12-14,359,0,0,0,0,0.0,0.0
15,Boris,PayPal Merchant Services,"The service is good, but the transaction fees are too high for small businesses.",5.0,2014-09-01,98,0,0,0,0,0.0,0.0
16,"R. Greene ""meggabitz""",Venmo,"It’s great for splitting bills, but the social feed seems unnecessary.",4.0,2014-02-28,283,0,0,0,0,0.0,0.0
17,RJ,Braintree,"It works well for multiple payment options, but the interface could be smoother.",5.0,2013-12-08,365,0,0,0,0,0.0,0.0
18,plo,PayPal Digital Wallet,"A decent service overall, but transaction speed could be improved.",5.0,2014-01-29,313,0,0,0,0,0.0,0.0
19,PayPal Customer,PayPal Digital Wallet,"It's fine for sending money quickly, though customer service is hard to reach.",5.0,2014-02-01,310,1,0,1,1,1.0,0.2065493143772374
20,Arthur C. Cox,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",4.0,2014-10-05,64,0,0,0,0,0.0,0.0
21,Mr AMZ,PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",1.0,2013-02-19,657,0,0,0,0,0.0,0.0
22,redbaron8,PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",5.0,2014-03-01,282,0,0,0,0,0.0,0.0
23,"toobad ""toobad""",PayPal Digital Wallet,"A decent service overall, but transaction speed could be improved.",5.0,2013-04-29,588,0,0,0,0,0.0,0.0
24,DinDada,Xoom,"The service is good, but sometimes the app crashes during transactions.",5.0,2014-08-05,125,0,0,0,0,0.0,0.0
25,"Tom Grundy ""Love a good book!""",PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",5.0,2012-12-31,707,0,0,0,0,0.0,0.0
26,Dave Carlson,Venmo,"It’s great for splitting bills, but the social feed seems unnecessary.",5.0,2013-05-24,563,0,0,0,0,0.0,0.0
27,setzco,Xoom,"Transfers are generally quick, but the mobile app could be improved.",4.0,2013-04-04,613,0,0,0,0,0.0,0.0
28,Bumqui,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2014-01-29,313,0,0,0,0,0.0,0.0
29,kj,Xoom,"The service is good, but sometimes the app crashes during transactions.",3.0,2013-12-28,345,0,0,0,0,0.0,0.0
30,DillonsPCRepair,Braintree,"The service is secure and reliable, but the fees are higher than competitors.",5.0,2014-01-21,321,0,0,0,0,0.0,0.0
31,"R. Guevara Galvan ""Roniux""",PayPal Credit,"It's useful for larger purchases, but the interest rates are too high if you're late.",5.0,2013-02-27,649,1,0,1,1,1.0,0.2065493143772374
32,Perry Hopper Sr,PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",5.0,2013-01-09,698,0,0,0,0,0.0,0.0
33,LostboyzKING,Braintree,"A solid service, though I had a few issues with setting it up initially.",5.0,2013-03-27,621,0,0,0,0,0.0,0.0
34,asaverio,PayPal Merchant Services,"It's fine for basic payment processing, but the fees are a little high.",5.0,2014-01-29,313,0,0,0,0,0.0,0.0
35,Thomas L. Ballard,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2014-02-28,283,0,0,0,0,0.0,0.0
36,Eugene A. Wright,PayPal Credit,"It's useful for larger purchases, but the interest rates are too high if you're late.",4.0,2014-05-30,192,0,0,0,0,0.0,0.0
37,sadpony,PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",5.0,2013-04-29,588,0,0,0,0,0.0,0.0
38,Willam Armstrong,PayPal Digital Wallet,"A decent service overall, but transaction speed could be improved.",5.0,2013-05-30,557,0,0,0,0,0.0,0.0
39,Austin,Braintree,"It gets the job done, but there are definitely cheaper alternatives.",5.0,2013-06-04,552,0,0,0,0,0.0,0.0
40,K. Coleman,PayPal Credit,"The no-interest period helps, but approval took longer than expected.",5.0,2013-08-09,486,0,0,0,0,0.0,0.0
41,Calvin,Venmo,"It’s great for splitting bills, but the social feed seems unnecessary.",5.0,2014-04-27,225,0,0,0,0,0.0,0.0
42,Twin Jalanugraha,PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",5.0,2013-06-21,535,0,0,0,0,0.0,0.0
43,"C. Wagner ""just one more gadget""",PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2014-01-26,316,0,0,0,0,0.0,0.0
44,samson,Xoom,"The service is good, but sometimes the app crashes during transactions.",5.0,2014-06-19,172,0,0,0,0,0.0,0.0
45,Greg,PayPal Merchant Services,"The service is good, but the transaction fees are too high for small businesses.",5.0,2012-04-12,970,0,0,0,0,0.0,0.0
46,John the Revelator,PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",4.0,2014-05-30,192,0,0,0,0,0.0,0.0
47,Richard,PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",5.0,2013-03-24,624,0,0,0,0,0.0,0.0
48,os_cali,Braintree,"A solid service, though I had a few issues with setting it up initially.",5.0,2013-08-11,484,0,0,0,0,0.0,0.0
49,"Barotropic ""albedo""",Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",5.0,2014-04-01,251,0,0,0,0,0.0,0.0
50,Carl Crampton,Braintree,"The service is secure and reliable, but the fees are higher than competitors.",5.0,2013-09-11,453,0,0,0,0,0.0,0.0
51,TRice,PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",5.0,2014-07-07,154,0,0,0,0,0.0,0.0
52,PayPal Customer,Xoom,"Transfers are generally quick, but the mobile app could be improved.",5.0,2012-12-27,711,0,0,0,0,0.0,0.0
53,Beantown,Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",5.0,2013-12-02,371,0,0,0,0,0.0,0.0
54,"R. Robb ""occassional techy""",PayPal Merchant Services,"It's fine for basic payment processing, but the fees are a little high.",5.0,2013-06-02,554,0,0,0,0,0.0,0.0
55,Matt Hinrichs,PayPal Merchant Services,"The service is good, but the transaction fees are too high for small businesses.",5.0,2013-05-11,576,0,0,0,0,0.0,0.0
56,"Timothy S. Smith ""Camera Dude""",Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",5.0,2013-08-20,475,0,0,0,0,0.0,0.0
57,PayPal Customer,PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",5.0,2012-08-12,848,0,0,0,0,0.0,0.0
58,Ali G Sandoval,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2014-07-14,147,0,0,0,0,0.0,0.0
59,LD,Xoom,"The service is good, but sometimes the app crashes during transactions.",5.0,2013-07-23,503,0,0,0,0,0.0,0.0
60,Jbd22g,PayPal Merchant Services,"The service is good, but the transaction fees are too high for small businesses.",4.0,2013-06-01,555,0,0,0,0,0.0,0.0
61,H. Oliver,Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",5.0,2013-11-03,400,0,0,0,0,0.0,0.0
62,B. Hutchins,PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",5.0,2014-12-01,7,0,0,0,0,0.0,0.0
63,Jonah,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2013-03-01,647,0,0,0,0,0.0,0.0
64,PayPal Customer,PayPal Credit,"The service is okay, but there are better options with lower fees.",2.0,2014-04-28,224,0,3,3,-3,0.0,4.868360917120224e-17
65,The Professor,PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",5.0,2013-11-11,392,0,0,0,0,0.0,0.0
66,Carlos,Xoom,"It's reliable, though I had one delayed transfer which was annoying.",5.0,2014-03-23,260,0,0,0,0,0.0,0.0
67,4evryoung,Braintree,"It works well for multiple payment options, but the interface could be smoother.",5.0,2014-03-24,259,1,0,1,1,1.0,0.2065493143772374
68,The Nudnik,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2014-12-07,1,0,0,0,0,0.0,0.0
69,"GUSR19 ""JimE""",PayPal Credit,"The service is okay, but there are better options with lower fees.",5.0,2014-05-05,217,0,0,0,0,0.0,0.0
70,David,PayPal Credit,"The no-interest period helps, but approval took longer than expected.",5.0,2013-12-12,361,1,0,1,1,1.0,0.2065493143772374
71,"fotos.david ""f/d""",PayPal Credit,"It's useful for larger purchases, but the interest rates are too high if you're late.",5.0,2014-02-18,293,0,0,0,0,0.0,0.0
72,J. Foust,Xoom,"Transfers are generally quick, but the mobile app could be improved.",1.0,2013-08-02,493,0,1,1,-1,0.0,0.0
73,Goobtube,Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",5.0,2014-05-29,193,0,0,0,0,0.0,0.0
74,fredoh2,PayPal Digital Wallet,"It's fine for sending money quickly, though customer service is hard to reach.",5.0,2013-05-16,571,0,0,0,0,0.0,0.0
75,C. Schmidt,PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",5.0,2013-05-16,571,0,0,0,0,0.0,0.0
76,AnchorManagement,Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",5.0,2013-11-05,398,0,0,0,0,0.0,0.0
77,aaron mckaig,Braintree,"It works well for multiple payment options, but the interface could be smoother.",5.0,2014-04-04,248,0,0,0,0,0.0,0.0
78,"T. Mayer ""Linda""",Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",5.0,2013-07-07,519,0,0,0,0,0.0,0.0
79,K. Rodriguez,Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",1.0,2013-09-08,456,0,0,0,0,0.0,0.0
80,Eric,Venmo,"Venmo makes it easy to pay friends, but I’m not sure about the security.",5.0,2013-01-19,688,1,0,1,1,1.0,0.2065493143772374
81,Mark,PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",5.0,2014-03-27,256,0,0,0,0,0.0,0.0
82,T. Funk,PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",4.0,2013-08-24,471,0,0,0,0,0.0,0.0
83,"John Kempf ""Gadgetskopf""",PayPal Credit,"It helps when I need to buy something quickly, but late fees are excessive.",5.0,2013-03-15,633,0,0,0,0,0.0,0.0
84,wstout,PayPal Merchant Services,"It's fine for basic payment processing, but the fees are a little high.",5.0,2013-10-31,403,0,0,0,0,0.0,0.0
85,Henry T. Bluing,Venmo,"Venmo makes it easy to pay friends, but I’m not sure about the security.",5.0,2013-08-21,474,0,0,0,0,0.0,0.0
86,***Andy***,PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",5.0,2014-04-03,249,0,0,0,0,0.0,0.0
87,William,PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",5.0,2012-12-26,712,0,0,0,0,0.0,0.0
88,D. Wong,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2013-02-14,662,0,0,0,0,0.0,0.0
89,JA,PayPal Credit,"The service is okay, but there are better options with lower fees.",5.0,2013-11-26,377,0,0,0,0,0.0,0.0
90,Grimjaw,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2013-09-19,445,0,0,0,0,0.0,0.0
91,Bonnie Burgener,PayPal Credit,"It's useful for larger purchases, but the interest rates are too high if you're late.",5.0,2012-12-24,714,0,0,0,0,0.0,0.0
92,pepper45322,PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",1.0,2012-12-29,709,6,2,8,4,0.75,0.4092754303101689
93,J. Keller,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2014-12-02,6,0,0,0,0,0.0,0.0
94,"Ed Win ""Al Smitheee""",PayPal Merchant Services,"It's fine for basic payment processing, but the fees are a little high.",5.0,2013-05-05,582,0,0,0,0,0.0,0.0
95,JABthat20,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2013-07-23,503,0,0,0,0,0.0,0.0
96,"JoeyCakes ""JoeyCakes""",Xoom,"It's reliable, though I had one delayed transfer which was annoying.",5.0,2013-06-01,555,0,0,0,0,0.0,0.0
97,Paul Ruff,Venmo,"Transfers are fast, but there are occasional bugs that make it frustrating.",5.0,2013-07-04,522,0,0,0,0,0.0,0.0
98,HUGO E. SANCHEZ,Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",4.0,2014-04-23,229,1,0,1,1,1.0,0.2065493143772374
99,PayPal Customer,Braintree,"It gets the job done, but there are definitely cheaper alternatives.",4.0,2013-07-19,507,0,0,0,0,0.0,0.0
100,"Raymond W. Leung ""rwleung98""",PayPal Credit,"The no-interest period helps, but approval took longer than expected.",5.0,2013-02-16,660,0,0,0,0,0.0,0.0
101,victor m flores,Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",5.0,2014-11-03,35,0,0,0,0,0.0,0.0
102,One Day,PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",1.0,2012-11-27,741,0,2,2,-2,0.0,0.0
103,Em,Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",5.0,2014-05-03,219,1,0,1,1,1.0,0.2065493143772374
104,"Greg T ""Love Electronics""",PayPal Digital Wallet,"It's fine for sending money quickly, though customer service is hard to reach.",5.0,2012-11-12,756,0,0,0,0,0.0,0.0
105,W.T. HAMPTON,Braintree,"The service is secure and reliable, but the fees are higher than competitors.",5.0,2014-03-24,259,0,0,0,0,0.0,0.0
106,"Brett East ""Prime is GOOD""",Xoom,"It's reliable, though I had one delayed transfer which was annoying.",5.0,2013-09-14,450,0,0,0,0,0.0,0.0
107,craig,PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",5.0,2014-06-19,172,0,0,0,0,0.0,0.0
108,Angelika Perry,PayPal Digital Wallet,"A decent service overall, but transaction speed could be improved.",5.0,2014-01-19,323,0,0,0,0,0.0,0.0
109,Jeff Felker,Braintree,"It gets the job done, but there are definitely cheaper alternatives.",5.0,2014-07-04,157,0,0,0,0,0.0,0.0
110,ian,Venmo,"Venmo makes it easy to pay friends, but I’m not sure about the security.",4.0,2014-07-01,160,0,0,0,0,0.0,0.0
111,Javier Rodriguez,PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",5.0,2013-10-01,433,0,0,0,0,0.0,0.0
112,Parker Alton,Venmo,"Transfers are fast, but there are occasional bugs that make it frustrating.",5.0,2014-11-06,32,0,0,0,0,0.0,0.0
113,D. Evans,Xoom,"It’s fine for international transfers, though I wish it was more transparent with fees.",1.0,2013-03-06,642,1,0,1,1,1.0,0.2065493143772374
114,K. Maglinte,PayPal Credit,"The service is okay, but there are better options with lower fees.",5.0,2012-02-10,1032,0,0,0,0,0.0,0.0
115,Zachary Flategraff,Braintree,"The service is secure and reliable, but the fees are higher than competitors.",5.0,2013-11-23,380,0,0,0,0,0.0,0.0
116,PayPal Customer,Venmo,"It’s great for splitting bills, but the social feed seems unnecessary.",5.0,2014-07-01,160,0,0,0,0,0.0,0.0
117,Mike Camacho,PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",5.0,2013-08-13,482,0,0,0,0,0.0,0.0
118,"Amazon Customer ""wolverine331""",Braintree,"A solid service, though I had a few issues with setting it up initially.",5.0,2013-11-28,375,0,0,0,0,0.0,0.0
119,Robert H Morgan,PayPal Digital Wallet,"It's fine for sending money quickly, though customer service is hard to reach.",5.0,2013-06-07,549,0,0,0,0,0.0,0.0
120,Connie Smither,PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",5.0,2014-05-17,205,0,0,0,0,0.0,0.0
121,Jerry L. Harper,PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",5.0,2013-10-11,423,0,0,0,0,0.0,0.0
122,ak2012,PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",5.0,2013-04-26,591,0,0,0,0,0.0,0.0
123,Dao Vang,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2013-07-20,506,0,0,0,0,0.0,0.0
124,Patrick,Xoom,"The service is good, but sometimes the app crashes during transactions.",5.0,2013-02-06,670,0,0,0,0,0.0,0.0
125,David A. Thomas,PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",4.0,2013-10-31,403,0,0,0,0,0.0,0.0
126,chris khouri,Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",4.0,2013-11-08,395,0,0,0,0,0.0,0.0
127,"papatech ""c.p.""",Braintree,"It works well for multiple payment options, but the interface could be smoother.",4.0,2013-07-02,524,0,0,0,0,0.0,0.0
128,eblak3,Braintree,"A solid service, though I had a few issues with setting it up initially.",5.0,2014-04-24,228,0,0,0,0,0.0,0.0
129,Ladychaos1,Xoom,"The service is good, but sometimes the app crashes during transactions.",5.0,2013-09-11,453,0,0,0,0,0.0,0.0
130,"Harrison A. Curtis ""Techy""",PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",5.0,2014-02-22,289,0,0,0,0,0.0,0.0
131,"Abel Feliciano ""Ace Master""",Venmo,"It’s great for splitting bills, but the social feed seems unnecessary.",4.0,2012-11-09,759,0,0,0,0,0.0,0.0
132,KingQuadder,PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",5.0,2013-12-30,343,0,0,0,0,0.0,0.0
133,Sebastian,Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",4.0,2013-06-11,545,0,0,0,0,0.0,0.0
134,Opti Mist,PayPal Digital Wallet,"It's fine for sending money quickly, though customer service is hard to reach.",5.0,2014-04-26,226,0,0,0,0,0.0,0.0
135,Bruni,Venmo,"Venmo makes it easy to pay friends, but I’m not sure about the security.",5.0,2013-10-09,425,0,0,0,0,0.0,0.0
136,B. Augustine,Venmo,"It’s great for splitting bills, but the social feed seems unnecessary.",2.0,2012-08-31,829,0,0,0,0,0.0,0.0
137,"Amazon Customer ""DPM""",PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",5.0,2013-11-24,379,0,0,0,0,0.0,0.0
138,kellster,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2012-12-30,708,0,0,0,0,0.0,0.0
139,Tonys59,Braintree,"It gets the job done, but there are definitely cheaper alternatives.",5.0,2013-08-10,485,0,0,0,0,0.0,0.0
140,Peppy,PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",5.0,2014-04-28,224,0,0,0,0,0.0,0.0
141,"BitTwiddler ""OldSchoolGeek""",PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",5.0,2013-06-01,555,0,0,0,0,0.0,0.0
142,Unsatisfied,PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",5.0,2014-01-20,322,0,0,0,0,0.0,0.0
143,"Yu-jin &amp; Tracy Chia ""Yu-Jin Chia""",PayPal Digital Wallet,"A decent service overall, but transaction speed could be improved.",4.0,2012-11-29,739,6,2,8,4,0.75,0.4092754303101689
144,DrBill,Braintree,"It gets the job done, but there are definitely cheaper alternatives.",5.0,2013-12-25,348,0,0,0,0,0.0,0.0
145,dorian,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2013-02-12,664,0,0,0,0,0.0,0.0
146,jeff hollis,PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",5.0,2013-04-10,607,0,0,0,0,0.0,0.0
147,"J. Enrique Ortiz ""okje""",PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",2.0,2014-08-06,124,0,0,0,0,0.0,0.0
148,Thomas D. Torkelson,Braintree,"A solid service, though I had a few issues with setting it up initially.",5.0,2014-08-04,126,0,0,0,0,0.0,0.0
149,Shelly-Ann,PayPal Merchant Services,"It's fine for basic payment processing, but the fees are a little high.",3.0,2013-02-22,654,0,0,0,0,0.0,0.0
150,"Ethan Winning ""Ethan Winning""",PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",5.0,2014-03-29,254,1,0,1,1,1.0,0.2065493143772374
151,"Robyn Swaim ""robynthetexasvamp""",Venmo,"It’s great for splitting bills, but the social feed seems unnecessary.",5.0,2013-03-28,620,0,0,0,0,0.0,0.0
152,"L. Pombo ""felinelvr""",PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",4.0,2014-03-19,264,0,0,0,0,0.0,0.0
153,WILLIAM NANNEY,Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",4.0,2013-04-29,588,0,0,0,0,0.0,0.0
154,RON,Xoom,"The service is good, but sometimes the app crashes during transactions.",1.0,2014-03-25,258,1,0,1,1,1.0,0.2065493143772374
155,PayPal Customer,PayPal Credit,"The no-interest period helps, but approval took longer than expected.",5.0,2014-02-17,294,0,0,0,0,0.0,0.0
156,Phil,PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",5.0,2013-06-09,547,0,0,0,0,0.0,0.0
157,A to Z Guarantee,Xoom,"Transfers are generally quick, but the mobile app could be improved.",5.0,2013-09-07,457,0,0,0,0,0.0,0.0
158,"Stephen Bagiatis Jr. ""Hodgieb""",PayPal Credit,"It helps when I need to buy something quickly, but late fees are excessive.",5.0,2013-09-14,450,0,0,0,0,0.0,0.0
159,"M. Trail ""venomx296""",Xoom,"The service is good, but sometimes the app crashes during transactions.",5.0,2014-02-21,290,0,0,0,0,0.0,0.0
160,"Melvey ""Rick F""",PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",5.0,2014-06-01,190,0,0,0,0,0.0,0.0
161,R. Heisler,Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",3.0,2013-02-27,649,22,3,25,19,0.88,0.7004420607907267
162,NurseLovesDeals,PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",5.0,2013-03-24,624,0,0,0,0,0.0,0.0
163,"Aloha Jo Distributions ""PiggyBank Inc""",PayPal Credit,"It helps when I need to buy something quickly, but late fees are excessive.",5.0,2014-10-07,62,0,0,0,0,0.0,0.0
164,James W Young,Xoom,"The service is good, but sometimes the app crashes during transactions.",5.0,2014-02-01,310,0,0,0,0,0.0,0.0
165,Terez B.,Venmo,"Venmo makes it easy to pay friends, but I’m not sure about the security.",5.0,2013-11-15,388,0,0,0,0,0.0,0.0
166,Daryl,Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",5.0,2013-02-05,671,1,0,1,1,1.0,0.2065493143772374
167,Z. Duncan,PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",5.0,2014-03-02,281,0,0,0,0,0.0,0.0
168,Genevieve,Xoom,"It’s fine for international transfers, though I wish it was more transparent with fees.",5.0,2013-04-07,610,0,0,0,0,0.0,0.0
169,PayPal Customer,PayPal Merchant Services,"It's fine for basic payment processing, but the fees are a little high.",5.0,2014-10-03,66,0,0,0,0,0.0,0.0
170,"SirNagrom ""Computer Geek""",Venmo,"Venmo makes it easy to pay friends, but I’m not sure about the security.",5.0,2013-08-27,468,0,0,0,0,0.0,0.0
171,Brian Sixbey,Venmo,"It’s great for splitting bills, but the social feed seems unnecessary.",5.0,2012-11-22,746,0,0,0,0,0.0,0.0
172,happy gardener,PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",5.0,2012-02-12,1030,0,0,0,0,0.0,0.0
173,Nate C.,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2013-10-30,404,0,0,0,0,0.0,0.0
174,kmac,Xoom,"The service is good, but sometimes the app crashes during transactions.",5.0,2014-01-29,313,0,0,0,0,0.0,0.0
175,"Hyoun Kim ""Faluzure""",Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2013-01-05,702,1952,68,2020,1884,0.9663366336633664,0.9575439475520824
176,"Nersi Pouya ""Nersi""",PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",5.0,2013-11-12,391,0,0,0,0,0.0,0.0
177,Adan Montiel,PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",5.0,2014-08-02,128,0,0,0,0,0.0,0.0
178,9z4cda,PayPal Digital Wallet,"A decent service overall, but transaction speed could be improved.",5.0,2014-04-07,245,0,0,0,0,0.0,0.0
179,andrew,PayPal Merchant Services,"It's fine for basic payment processing, but the fees are a little high.",5.0,2013-05-25,562,0,0,0,0,0.0,0.0
180,"mmmgoodm7 ""MMM""",Braintree,"The service is secure and reliable, but the fees are higher than competitors.",5.0,2013-01-15,692,0,0,0,0,0.0,0.0
181,Tactical Keychains,PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",5.0,2014-06-07,184,0,0,0,0,0.0,0.0
182,walter goodwyn,Braintree,"It works well for multiple payment options, but the interface could be smoother.",5.0,2013-12-11,362,0,0,0,0,0.0,0.0
183,Rene R. Leblanc,Braintree,"A solid service, though I had a few issues with setting it up initially.",5.0,2014-02-07,304,1,0,1,1,1.0,0.2065493143772374
184,"Javier Fonseca ""Javier Fonseca""",Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",1.0,2013-05-26,561,0,0,0,0,0.0,0.0
185,omfgskyler,Braintree,"The service is secure and reliable, but the fees are higher than competitors.",5.0,2013-05-03,584,0,0,0,0,0.0,0.0
186,L. Brewer,PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",4.0,2013-11-01,402,0,1,1,-1,0.0,0.0
187,marsalla,Xoom,"Transfers are generally quick, but the mobile app could be improved.",2.0,2013-02-06,670,1,2,3,-1,0.3333333333333333,0.0614919447203962
188,RST10,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2013-09-09,455,0,0,0,0,0.0,0.0
189,Diddy,Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",4.0,2014-06-29,162,0,0,0,0,0.0,0.0
190,Wavey Davey,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2014-12-01,7,0,0,0,0,0.0,0.0
